1	1	2	0.23	0.145	0.112	0.000083	0.435	0.112	0.000083	273	1
2	2	3	0.247	0.145	0.112	0.000083	0.435	0.112	0.000083	273	1
3	3	4	0.144	0.145	0.112	0.000083	0.435	0.112	0.000083	273	1
4	3	5	0.05	0.2	-8.62513E-17	0	0.2	0	0	500	1
5	2	6	0.05	0.2	-8.62513E-17	0	0.2	0	0	500	1
6	2	7	0.05	0.2	-8.62513E-17	0	0.2	0	0	500	1
7	1	8	0.55	0.145	0.112	0.000083	0.435	0.112	0.000083	273	1
8	8	9	0.11	0.145	0.112	0.000083	0.435	0.112	0.000083	273	1
9	9	10	0.46	0.145	0.112	0.000083	0.435	0.112	0.000083	273	1
10	10	11	0.565	0.145	0.112	0.000083	0.435	0.112	0.000083	273	1
11	10	12	0.05	0.2	-8.62513E-17	0	0.2	0	0	500	1
12	10	13	0.05	0.2	-8.62513E-17	0	0.2	0	0	500	1
13	9	14	0.05	0.2	-8.62513E-17	0	0.2	0	0	500	1
14	9	15	0.05	0.2	-8.62513E-17	0	0.2	0	0	500	1
15	9	16	0.05	0.2	-8.62513E-17	0	0.2	0	0	500	1
16	8	17	0.05	0.2	-8.62513E-17	0	0.2	0	0	500	1
17	1	18	0.152	0.145	0.112	0.000083	0.435	0.112	0.000083	273	1
18	18	19	0.158	0.145	0.112	0.000083	0.435	0.112	0.000083	273	1
19	19	20	0.19	0.145	0.112	0.000083	0.435	0.112	0.000083	273	1
20	20	21	0.084	0.145	0.112	0.000083	0.435	0.112	0.000083	273	1
21	20	22	0.05	0.2	-8.62513E-17	0	0.2	0	0	500	1
22	19	23	0.05	0.2	-8.62513E-17	0	0.2	0	0	500	1
23	18	24	0.05	0.2	-8.62513E-17	0	0.2	0	0	500	1
24	1	25	0.112	0.145	0.112	0.000083	0.435	0.112	0.000083	273	1
25	25	26	0.215	0.145	0.112	0.000083	0.435	0.112	0.000083	273	1
26	26	27	0.534	0.145	0.112	0.000083	0.435	0.112	0.000083	273	1
27	27	28	0.29	0.145	0.112	0.000083	0.435	0.112	0.000083	273	1
28	28	29	0.198	0.145	0.112	0.000083	0.435	0.112	0.000083	273	1
29	28	30	0.05	0.2	-8.62513E-17	0	0.2	0	0	500	1
30	28	31	0.05	0.2	-8.62513E-17	0	0.2	0	0	500	1
31	26	32	0.05	0.2	-8.62513E-17	0	0.2	0	0	500	1
32	25	33	0.05	0.2	-8.62513E-17	0	0.2	0	0	500	1
33	25	34	0.05	0.2	-8.62513E-17	0	0.2	0	0	500	1
34	25	35	0.05	0.2	-8.62513E-17	0	0.2	0	0	500	1
35	1	36	0.535	0.145	0.112	0.000083	0.435	0.112	0.000083	273	1
36	36	37	0.085	0.145	0.112	0.000083	0.435	0.112	0.000083	273	1
37	37	38	0.111	0.145	0.112	0.000083	0.435	0.112	0.000083	273	1
38	37	39	0.05	0.2	-8.62513E-17	0	0.2	0	0	500	1
39	36	40	0.05	0.2	-8.62513E-17	0	0.2	0	0	500	1
40	36	41	0.05	0.2	-8.62513E-17	0	0.2	0	0	500	1
41	1	42	0.4	0.264	0.114	0.000091	0.792	0.114	0.000091	230	2
42	42	43	0.04	0.264	0.114	0.000091	0.792	0.114	0.000091	230	2
43	43	44	0.645	0.264	0.114	0.000091	0.792	0.114	0.000091	230	2
44	43	45	1.075	0.124	0.114	0.000091	0.372	0.114	0.000091	281	1
45	45	46	0.05	0.2	-8.62513E-17	0	0.2	0	0	500	1
46	43	47	0.05	0.2	-8.62513E-17	0	0.2	0	0	500	1
47	43	48	0.05	0.2	-8.62513E-17	0	0.2	0	0	500	1
48	43	49	0.05	0.2	-8.62513E-17	0	0.2	0	0	500	1
49	43	50	0.05	0.2	-8.62513E-17	0	0.2	0	0	500	1
50	43	51	0.05	0.2	-8.62513E-17	0	0.2	0	0	500	1
51	42	52	0.05	0.2	-8.62513E-17	0	0.2	0	0	500	1
52	42	53	0.05	0.2	-8.62513E-17	0	0.2	0	0	500	1
53	42	54	0.05	0.2	-8.62513E-17	0	0.2	0	0	500	1
54	42	55	0.05	0.2	-8.62513E-17	0	0.2	0	0	500	1
55	42	56	0.05	0.2	-8.62513E-17	0	0.2	0	0	500	1
56	1	57	0.44	0.09	0.108	0.000103	0.266	0.108	0.000103	250	2
57	57	58	0.361	0.145	0.112	0.000083	0.435	0.112	0.000083	273	1
58	58	59	0.304	0.145	0.112	0.000083	0.435	0.112	0.000083	273	1
59	59	60	0.391	0.145	0.112	0.000083	0.435	0.112	0.000083	273	1
60	58	61	0.05	0.2	-8.62513E-17	0	0.2	0	0	500	1
